record_id,record_grain,circle,circle_short_name,region_name,state_name,city_name,pr_created_by,project_name,sub_project_name,project_id,site_id,site_name,site_type,technology,budget_category_name,natural_account,po_number,po_line_id,line_number,po_type,po_status,vendor_id,vendor_name,buyer_name,project_manager_name,po_date,delivery_start_date,delivery_end_date,need_by_date,promised_date,payment_terms,po_description,item_code,item_description,material_service,item_head,item_sub,item_sub_sub,uom,unit_price_inr,quantity_ordered,quantity_received_line_total,quantity_cancelled_line_total,quantity_billed_to_date,quantity_open_line_total,po_line_amount_inr,received_amount_line_total_inr,billed_amount_to_date_inr,open_po_amount_inr,line_closure_status,shipment_line_status_code,fulfilment_event_number,receipt_type,grn_service_entry_number,grn_service_entry_date,event_received_quantity,event_accepted_quantity,event_rejected_quantity,event_receipt_amount_inr,receipt_status,inspection_status,rfai_date,isq_short_status,isq_milestone,invoice_number,invoice_date,invoice_quantity,invoice_basic_amount_inr,invoice_tax_amount_inr,invoice_total_amount_inr,invoice_status,three_way_match_status,hold_reason,payment_status,payment_date,po_ageing_days,po_ageing_slab,delivery_delay_days,rfai_ageing_days,rfai_ageing_slab,invoice_ageing_days,invoice_ageing_slab,receipt_completion_pct,billing_completion_pct,delayed_po_flag,invoice_without_receipt_flag,overbilling_flag,closure_readiness_flag,wcc_status,amendment_status,as_of_date
REC-000001,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Pune,Priya Iyer,Maharashtra 4G Capacity Densification,Phase 1 Urban,PRJ-4G-DENS-MH-2025,MH-PUN-5471,Pune Site 5471,Small Cell,Transmission,CAPEX,610140,PO-2025-00001,PO-2025-00001-001,1,Service,Partially Fulfilled,V008,Zenith Power Solutions,Priya Iyer,Rahul Deshmukh,2025-08-03,2025-09-02,2025-12-31,2025-11-07,2025-11-08,45 days from invoice,Service PO for RF equipment installation and commissioning at Pune Site 5471,SRV-RF-INSTALL,RF equipment installation and commissioning,Service,Installation Services,RF Installation,Commissioning,SITE,175300,5,1.82,0,0.74,3.18,876500,319046.0,129722.0,557454.0,Partially Fulfilled,Partially Fulfilled,1,Service Entry Sheet,SES-2025-000001,2025-08-27,1.02,1.02,0.0,178806.0,Accepted,Passed,2025-08-23,Completed,Service Entry Approved,INV-V008-2025-000001,2025-09-22,0.74,129722.0,23349.96,153071.96,Booked,Matched,,Overdue,,347,>180 days,-73,327,>180 days,297,>180 days,36.4,14.8,Y,N,N,N,Pending,No Amendment,2026-07-16
REC-000002,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Pune,Priya Iyer,Maharashtra 4G Capacity Densification,Phase 1 Urban,PRJ-4G-DENS-MH-2025,MH-PUN-5471,Pune Site 5471,Small Cell,Transmission,CAPEX,610140,PO-2025-00001,PO-2025-00001-001,1,Service,Partially Fulfilled,V008,Zenith Power Solutions,Priya Iyer,Rahul Deshmukh,2025-08-03,2025-09-02,2025-12-31,2025-11-07,2025-11-08,45 days from invoice,Service PO for RF equipment installation and commissioning at Pune Site 5471,SRV-RF-INSTALL,RF equipment installation and commissioning,Service,Installation Services,RF Installation,Commissioning,SITE,175300,5,1.82,0,1.26,3.18,876500,319046.0,220878.0,557454.0,Partially Fulfilled,Partially Fulfilled,2,Service Entry Sheet,SES-2025-000002,2025-11-02,0.8,0.8,0.0,140240.0,Accepted,Passed,2025-10-31,Completed,Service Entry Approved,INV-V008-2025-000002,2025-11-17,0.52,91156.0,16408.08,107564.08,Paid,Matched,,Paid,2026-01-27,347,>180 days,-6,258,>180 days,241,>180 days,36.4,25.2,Y,N,N,N,Not Required,Under Amendment,2026-07-16
REC-000003,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Pune,Priya Iyer,Maharashtra 4G Capacity Densification,Phase 1 Urban,PRJ-4G-DENS-MH-2025,MH-PUN-1578,Pune Site 1578,IBS,Transmission,CAPEX,610140,PO-2025-00001,PO-2025-00001-002,2,Service,Open,V008,Zenith Power Solutions,Priya Iyer,Rahul Deshmukh,2025-08-03,2025-09-02,2025-12-31,2025-12-21,2025-12-28,45 days from invoice,Service PO for Site security and access management at Pune Site 1578,SRV-SECURITY,Site security and access management,Service,Managed Services,Site Security,Security Service,MONTH,35100,77,0.00,0.00,0.00,77.00,2702700,0.00,0.00,2702700.00,Open - Unfulfilled,Open - Unfulfilled,1,Service Entry Sheet,,,0.00,0.00,0.00,0.00,Not Received,Not Applicable,,Not Started,PO Released,,,0.00,0.00,0.00,0.00,Not Invoiced,Not Applicable,,Not Due,,347,>180 days,-15,,,,,0.00,0.00,Y,N,N,N,Not Required,No Amendment,2026-07-16
REC-000004,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Pune,Priya Iyer,Maharashtra 4G Capacity Densification,Phase 1 Urban,PRJ-4G-DENS-MH-2025,MH-PUN-1578,Pune Site 1578,IBS,Transmission,CAPEX,610140,PO-2025-00001,PO-2025-00001-002,2,Service,Open,V008,Zenith Power Solutions,Priya Iyer,Rahul Deshmukh,2025-08-03,2025-09-02,2025-12-31,2025-12-21,2025-12-28,45 days from invoice,Service PO for Site security and access management at Pune Site 1578,SRV-SECURITY,Site security and access management,Service,Managed Services,Site Security,Security Service,MONTH,35100,77,0.00,0.00,0.00,77.00,2702700,0.00,0.00,2702700.00,Open - Unfulfilled,Open - Unfulfilled,2,Service Entry Sheet,,,0.00,0.00,0.00,0.00,Not Received,Not Applicable,,Not Started,PO Released,,,0.00,0.00,0.00,0.00,Not Invoiced,Not Applicable,,Not Due,,347,>180 days,-113,,,,,0.00,0.00,Y,N,N,N,Approved,Amended,2026-07-16
REC-000005,PO_LINE_FULFILMENT_ALLOCATION,Madhya Pradesh,MP,Central,Madhya Pradesh,Gwalior,Sanjay Gupta,Madhya Pradesh 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-MP-2026,MP-GWA-7738,Gwalior Site 7738,Small Cell,4G/5G,CAPEX,620250,PO-2026-00002,PO-2026-00002-001,1,Supply,Partially Fulfilled,V003,Skyline Passive Infra Solutions,Sanjay Gupta,Kavita Joshi,2026-03-27,2026-04-25,2026-07-01,2026-08-06,2026-08-12,45 days from invoice,Supply PO for 1 Gbps Microwave Radio Link at Gwalior Site 7738,MAT-MW-1G,1 Gbps Microwave Radio Link,Material,Transmission,Microwave,Microwave Link,PAIR,303600,36,10.24,0.00,2.68,25.76,10929600,3108864.00,813648.00,7820736.00,Partially Fulfilled,Partially Fulfilled,1,GRN,GRN-2026-000005,2026-04-09,3.05,3.05,0.00,925980.00,Accepted,Passed,2026-04-26,Accepted,Site Acceptance,INV-V003-2026-000005,2026-04-17,2.68,813648.00,146456.64,960104.64,Booked,Matched,,Overdue,,111,91-180 days,-108,81,61-90 days,90,61-90 days,28.44,7.44,Y,N,N,N,Not Required,No Amendment,2026-07-16
REC-000006,PO_LINE_FULFILMENT_ALLOCATION,Madhya Pradesh,MP,Central,Madhya Pradesh,Gwalior,Sanjay Gupta,Madhya Pradesh 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-MP-2026,MP-GWA-7738,Gwalior Site 7738,Small Cell,4G/5G,CAPEX,620250,PO-2026-00002,PO-2026-00002-001,1,Supply,Partially Fulfilled,V003,Skyline Passive Infra Solutions,Sanjay Gupta,Kavita Joshi,2026-03-27,2026-04-25,2026-07-01,2026-08-06,2026-08-12,45 days from invoice,Supply PO for 1 Gbps Microwave Radio Link at Gwalior Site 7738,MAT-MW-1G,1 Gbps Microwave Radio Link,Material,Transmission,Microwave,Microwave Link,PAIR,303600,36,10.24,0.00,7.44,25.76,10929600,3108864.00,2258784.00,7820736.00,Partially Fulfilled,Partially Fulfilled,2,GRN,GRN-2026-000006,2026-04-18,7.19,7.19,0.00,2182884.00,Accepted,Passed,2026-07-07,Completed,Site Acceptance,INV-V003-2026-000006,2026-05-09,4.76,1445136.00,260124.48,1705260.48,Approved,Matched,,Overdue,,111,91-180 days,-35,9,0-30 days,68,61-90 days,28.44,20.67,Y,N,N,N,Not Required,No Amendment,2026-07-16
REC-000007,PO_LINE_FULFILMENT_ALLOCATION,Madhya Pradesh,MP,Central,Madhya Pradesh,Gwalior,Priya Iyer,Madhya Pradesh Tower Fiberization Program,Coverage Gaps,PRJ-FIBERIZATION-MP-2025,MP-GWA-9289,Gwalior Site 9289,Ground Based Tower,4G,OPEX,540210,PO-2025-00003,PO-2025-00003-001,1,Service,Partially Fulfilled,V008,Zenith Power Solutions,Priya Iyer,Nitin Bose,2025-10-15,2025-11-06,2026-01-17,2026-01-30,2026-01-31,90 days from invoice,Service PO for Tower operations and maintenance service at Gwalior Site 9289,SRV-O&M,Tower operations and maintenance service,Service,Managed Services,Tower O&M,Preventive Maintenance,MONTH,57900,58,25.35,0.00,12.98,32.65,3358200,1467765.00,751542.00,1890435.00,Partially Fulfilled,Partially Fulfilled,1,Service Entry Sheet,SES-2026-000007,2026-01-24,16.14,16.14,0.00,934506.00,Accepted,Passed,2026-02-17,Completed,Work Completion Confirmed,INV-V008-2026-000007,2026-02-24,12.98,751542.00,135277.56,886819.56,On Hold,Matched,,On Hold,,274,>180 days,21,149,91-180 days,142,91-180 days,43.71,22.38,Y,N,N,N,Not Required,No Amendment,2026-07-16
REC-000008,PO_LINE_FULFILMENT_ALLOCATION,Madhya Pradesh,MP,Central,Madhya Pradesh,Gwalior,Priya Iyer,Madhya Pradesh Tower Fiberization Program,Coverage Gaps,PRJ-FIBERIZATION-MP-2025,MP-GWA-9289,Gwalior Site 9289,Ground Based Tower,4G,OPEX,540210,PO-2025-00003,PO-2025-00003-001,1,Service,Partially Fulfilled,V008,Zenith Power Solutions,Priya Iyer,Nitin Bose,2025-10-15,2025-11-06,2026-01-17,2026-01-30,2026-01-31,90 days from invoice,Service PO for Tower operations and maintenance service at Gwalior Site 9289,SRV-O&M,Tower operations and maintenance service,Service,Managed Services,Tower O&M,Preventive Maintenance,MONTH,57900,58,25.35,0.00,16.45,32.65,3358200,1467765.00,952455.00,1890435.00,Partially Fulfilled,Partially Fulfilled,2,Service Entry Sheet,SES-2025-000008,2025-11-09,9.21,9.21,0.00,533259.00,Accepted,Passed,2025-12-05,Closed,Service Entry Approved,INV-V008-2025-000008,2025-12-04,3.47,200913.00,36164.34,237077.34,On Hold,Matched,,On Hold,,274,>180 days,-54,223,>180 days,224,>180 days,43.71,28.36,Y,N,N,N,Approved,Under Amendment,2026-07-16
REC-000009,PO_LINE_FULFILMENT_ALLOCATION,Madhya Pradesh,MP,Central,Madhya Pradesh,Gwalior,Priya Iyer,Madhya Pradesh Tower Fiberization Program,Coverage Gaps,PRJ-FIBERIZATION-MP-2025,MP-GWA-6294,Gwalior Site 6294,IBS,4G,OPEX,540210,PO-2025-00003,PO-2025-00003-002,2,Service,Fully Fulfilled,V008,Zenith Power Solutions,Priya Iyer,Nitin Bose,2025-10-15,2025-11-06,2026-01-17,2025-11-30,2025-12-14,90 days from invoice,Service PO for RF and structural site survey at Gwalior Site 6294,SRV-SURVEY,RF and structural site survey,Service,Professional Services,Survey,Site Survey,SITE,40000,25,25.0,0,21.0,0,1000000,1000000.0,840000.0,0,Fully Fulfilled,Fully Fulfilled,1,Service Entry Sheet,SES-2025-000009,2025-10-23,25.0,25.0,0.0,1000000.0,Accepted,Passed,2025-10-21,Completed,Service Entry Approved,INV-V008-2025-000009,2025-12-02,21.0,840000.0,151200.0,991200.0,Booked,Quantity Variance,,Overdue,,274,>180 days,-52,268,>180 days,226,>180 days,100.0,84.0,N,N,N,N,Submitted,No Amendment,2026-07-16
REC-000010,PO_LINE_FULFILMENT_ALLOCATION,Tamil Nadu,TN,South,Tamil Nadu,Madurai,Neha Kulkarni,Tamil Nadu New Tower Rollout,Phase 1 Urban,PRJ-TOWER-NEWBUILD-TN-2025,TN-MAD-6264,Madurai Site 6264,Ground Based Tower,4G,CAPEX,540210,PO-2025-00004,PO-2025-00004-001,1,Service,Partially Fulfilled,V015,CoreLink Equipment India,Neha Kulkarni,Rahul Deshmukh,2025-07-27,2025-08-12,2025-11-06,2025-10-30,2025-11-08,30 days from invoice,Service PO for Site security and access management at Madurai Site 6264,SRV-SECURITY,Site security and access management,Service,Managed Services,Site Security,Security Service,MONTH,32200,33,26.77,0,5.45,6.23,1062600,861994.0,175490.0,200606.0,Partially Fulfilled,Partially Fulfilled,1,Service Entry Sheet,SES-2025-000010,2025-08-25,6.04,6.04,0.0,194488.0,Accepted,Passed,2025-08-23,Completed,Service Entry Approved,INV-V015-2025-000010,2025-10-04,5.45,175490.0,31588.2,207078.2,On Hold,Price Variance,Rate variance,On Hold,,354,>180 days,-75,327,>180 days,285,>180 days,81.12,16.52,Y,N,N,N,Not Required,No Amendment,2026-07-16
